person_id,logged_on,weight_kg,note,is_rest,source
1,2022-08-13,,"첫 수영, 집에 와서 바로 쓰러졌음.",False,gform
1,2022-08-31,,100m 연속 수영,False,gform
1,2022-10-17,,배영 100m,False,gform
1,2022-11-26,,배영 13,False,gform
1,2022-11-27,,배영 23,False,gform
1,2023-01-04,,안면 충돌,False,gform
1,2023-01-10,,10바퀴 안 쉬고,False,gform
1,2023-01-11,,거의 연속으로,False,gform
1,2023-01-19,,1번 쉬고 40바퀴,False,gform
1,2023-01-21,,설 여행,True,gform
1,2023-01-22,,설 여행,True,gform
1,2023-01-23,,설 여행,True,gform
1,2023-01-27,,컨디션 난조,False,gform
1,2023-01-28,,컨디션 난조,True,gform
1,2023-01-29,,컨디션 난조,True,gform
1,2023-01-30,,컨디션 난조,True,gform
1,2023-02-01,,오송 출장,True,gform
1,2023-02-02,,온산 출장,True,gform
1,2023-02-05,,교회 시간 때문에 단축,False,gform
1,2023-02-06,,속도 내고 자주 쉬었음,False,gform
1,2023-02-11,,수영장 점심 시간 때문에 도중에 나왔음. 최고 기록 도전 각이었는데.,False,gform
1,2023-02-13,,,True,gform
1,2023-02-15,,,True,gform
1,2023-02-18,,감기몸살,True,gform
1,2023-02-20,,회식,True,gform
1,2023-02-22,,온산 출장,True,gform
1,2023-02-23,,온산 출장,True,gform
1,2023-02-25,,컨디션 난조,True,gform
1,2023-03-01,,연속 2일 수영으로 체력 소진,False,gform
1,2023-03-02,,오송 출장,True,gform
1,2023-03-03,,오송 출장,True,gform
1,2023-03-04,,할무니 익산 방문,True,gform
1,2023-03-12,,컨디션 난조,True,gform
1,2023-03-13,,"컨디션 난조, 근력운동 필요",False,gform
1,2023-03-15,,"컨디션 난조, 근력운동 필요",False,gform
1,2023-03-16,,온산 출장,True,gform
1,2023-03-19,,휴식,True,gform
1,2023-03-26,,휴식,True,gform
1,2023-03-27,,"컨디션 난조, 근력운동 필요",False,gform
1,2023-03-29,,"컨디션 난조, 근력운동 필요",False,gform
1,2023-03-31,,,True,gform
1,2023-04-01,,3킬로 뛰고 소변 보고 나머지 뜀,False,gform
1,2023-04-03,,뛰는데 배고픔,False,gform
1,2023-04-04,,회식,True,gform
1,2023-04-06,59.6,살이 빠져서 힘이 빠짐,False,gform
1,2023-04-07,,익산 문화재 야행,True,gform
1,2023-04-08,,러닝 속도 9.2에서 점점 올렸음,False,gform
1,2023-04-12,,페이스 조절 좋았음,False,gform
1,2023-04-15,,허기져서 못 뛰겠음,False,gform
1,2023-04-21,,익산 청년시청 강의,True,gform
1,2023-04-23,,MGB 강의 준비,True,gform
1,2023-04-25,,MGB 강의 후 체력 소진,False,gform
1,2023-04-28,,익산 청년시청 강의,True,gform
1,2023-04-30,,대구 희락교회 방문,True,gform
1,2023-05-05,,어린이날 외출로 인한 피곤,True,gform
1,2023-05-06,,용변으로 중단,False,gform
1,2023-05-07,,잠실 종합운동장 달리기,False,gform
1,2023-05-08,,"인화원 헬스장, 최고 기록",False,gform
1,2023-05-09,,피곤해서 패스,True,gform
1,2023-05-10,,오송 출장으로 패스,True,gform
1,2023-05-12,,익산시청 강의로 패스,True,gform
1,2023-05-17,,수영장 문 닫아서 하다가 나왔음,False,gform
1,2023-05-19,,익산시청 강의로 패스,True,gform
1,2023-05-22,,피곤해서 쉬었음,True,gform
1,2023-05-24,,피곤해서 쉬었음,True,gform
1,2023-05-26,,밥도 많이 못 먹고 기운이 없음,False,gform
1,2023-05-28,,교회 시간이 부족해서 많이 못했음,False,gform
1,2023-05-31,,코드 스테이츠 강의 준비한다고 쉬었음,True,gform
1,2023-06-03,,피곤해서 단축,False,gform
1,2023-06-05,,허벌 때문에 운동 못 감,True,gform
1,2023-06-06,,배고프고 기력 없음,False,gform
1,2023-06-10,,용화산 등산으로 퉁 침,True,gform
1,2023-06-12,,컨디션 난조,False,gform
1,2023-06-14,,발차기 많이 해서 허벅지 아파서 쉬었음,True,gform
1,2023-06-15,,좀 느려도 초반에 체력관리 잘했음 41바퀴?,False,gform
1,2023-06-17,,속이 안 좋아서 중도 포기,False,gform
1,2023-06-18,,컨디션 난조. 근력 전환,False,gform
1,2023-06-19,,헬스 근육통으로 운동 불가,True,gform
1,2023-06-20,,헬스 근육통으로 운동 불가,True,gform
1,2023-06-22,,오송 회식,True,gform
1,2023-06-24,,에버랜드 갔음,True,gform
1,2023-06-25,,에버랜드 갔음,True,gform
1,2023-06-28,,"하루종일 면역력 떨어져서 콜대원 먹고, 점심 먹고 속도 안 좋음",True,gform
1,2023-06-29,,코로나 확진. 에버랜드에서 감염 추측,True,gform
1,2023-07-02,,코로나로 피곤함,True,gform
1,2023-07-03,59.9,살 쪄서 힘이 남,False,gform
1,2023-07-04,,MSG 모임으로 운동 생략,True,gform
1,2023-07-05,,코딩코치 OT 로 운동 생략,True,gform
1,2023-07-06,58.5,살 빠져서 잘 안 나감,False,gform
1,2023-07-10,,"온산 출장 및 회식, 익산 밤 12시 도착",True,gform
1,2023-07-11,,업무 자동화 MSG,True,gform
1,2023-07-12,,한정훈 선임님 맥주,True,gform
1,2023-07-13,58.7,선방했음,False,gform
1,2023-07-14,,유산소 30분,False,gform
1,2023-07-16,,유산소 30분,False,gform
1,2023-07-18,,MSG 라서 운동 못했음,True,gform
1,2023-07-19,,코드 스테이츠 강의하느라 에너지 소진,False,gform
1,2023-07-25,,MSG 로 패스,True,gform
1,2023-07-28,,건강검진해서 피곤함,False,gform
1,2023-08-01,,배드민턴,False,gform
1,2023-08-02,,전날 PY4E 새벽 1시까지 하느라 피곤,False,gform
1,2023-08-04,,필리핀 여행,True,gform
1,2023-08-05,,필리핀 여행,True,gform
1,2023-08-06,,필리핀 여행,True,gform
1,2023-08-07,,필리핀 여행,True,gform
1,2023-08-08,,필리핀 여행,True,gform
1,2023-08-09,,필리핀 여행,True,gform
1,2023-08-10,,필리핀 여행,True,gform
1,2023-08-11,,필리핀 여행,True,gform
1,2023-08-12,,"더 할 수 있었는데, 다른 가족들이 먼저 나가서 중단함",False,gform
1,2023-08-15,,배드민턴,False,gform
1,2023-08-17,,많이 안 먹어서 기력이 없음,False,gform
1,2023-08-19,,뛰다가 배고파,False,gform
1,2023-08-22,,MSG 때문에 못했음,True,gform
1,2023-08-29,,MSG 때문에 못했음,True,gform
1,2023-09-02,,배드민턴 시부적,False,gform
1,2023-09-03,,소식해서 기운이 없음,False,gform
1,2023-09-04,,거의 두 달 가까이 40바퀴 한 적 없음,False,gform
1,2023-09-05,,MSG 때문에 못함,True,gform
1,2023-09-11,,중간에 한 번 쉬었음,False,gform
1,2023-09-12,,MSG 때문에 못함,True,gform
1,2023-09-22,,해커톤 하느라,True,gform
1,2023-09-23,,전기 배선 교체 공사 하느라,True,gform
1,2023-09-25,,피곤해서 패스,True,gform
1,2023-09-27,,20일만에 수영했음,False,gform
1,2023-09-28,,배민,False,gform
1,2023-09-29,,추석연휴,True,gform
1,2023-09-30,,추석연휴,True,gform
1,2023-10-01,,추석 연휴,True,gform
1,2023-10-02,,추석 연휴,True,gform
1,2023-10-07,,동한 결혼식,True,gform
1,2023-10-16,,피곤해,False,gform
1,2023-10-19,,오르막 길,False,gform
1,2023-10-24,,10분 단축,False,gform
1,2023-10-25,,"30분, 한 끼 먹었음",False,gform
1,2023-10-27,,인화원 MSG 출장,True,gform
1,2023-10-28,,리듬 얽힘,True,gform
1,2023-10-31,,당근 영어,False,gform
1,2023-11-04,,,True,gform
1,2023-11-09,,,True,gform
1,2023-11-12,,,True,gform
1,2023-11-25,,,True,gform
