person_id,logged_on,exercise,reps,duration_sec,distance_km,laps,note,source
1,2022-06-11,run,,1611.0,4.0,,,gform
1,2022-06-13,run,,1500.0,3.7,,,gform
1,2022-06-14,run,,1809.0,4.5,,,gform
1,2022-06-16,run,,513.0,1.3,,,gform
1,2022-06-17,run,,1155.0,3.0,,,gform
1,2022-06-18,run,,2820.0,7.0,,,gform
1,2022-06-19,run,,1560.0,4.0,,,gform
1,2022-06-21,run,,1800.0,4.5,,,gform
1,2022-06-22,run,,1605.0,4.0,,,gform
1,2022-06-23,run,,1800.0,4.5,,,gform
1,2022-06-24,run,,1200.0,3.0,,,gform
1,2022-06-26,run,,1605.0,4.0,,,gform
1,2022-06-27,run,,1740.0,4.4,,,gform
1,2022-06-28,run,,639.0,1.6,,,gform
1,2022-06-29,run,,945.0,2.4,,,gform
1,2022-06-30,run,,1521.0,4.0,,,gform
1,2022-07-01,run,,1080.0,2.6,,,gform
1,2022-07-03,run,,1920.0,4.8,,,gform
1,2022-07-04,run,,795.0,2.0,,,gform
1,2022-07-05,run,,801.0,2.0,,,gform
1,2022-07-06,run,,840.0,2.1,,,gform
1,2022-07-07,run,,921.0,2.3,,,gform
1,2022-07-10,run,,2160.0,5.4,,,gform
1,2022-07-12,run,,1260.0,3.4,,,gform
1,2022-07-13,run,,1440.0,3.6,,,gform
1,2022-07-14,run,,789.0,2.2,,,gform
1,2022-07-15,run,,960.0,2.4,,,gform
1,2022-07-19,run,,1095.0,3.0,,,gform
1,2022-07-20,run,,1200.0,3.0,,,gform
1,2022-07-21,run,,960.0,2.4,,,gform
1,2022-07-24,run,,1200.0,3.0,,,gform
1,2022-07-25,run,,1200.0,3.0,,,gform
1,2022-07-26,run,,1260.0,3.1,,,gform
1,2022-07-27,run,,1260.0,3.1,,,gform
1,2022-07-28,run,,1599.0,4.0,,,gform
1,2022-07-29,run,,1200.0,3.0,,,gform
1,2022-07-30,run,,1329.0,3.3,,,gform
1,2022-07-31,run,,1200.0,3.0,,,gform
1,2022-08-06,run,,3300.0,8.2,,,gform
1,2022-08-08,run,,1281.0,3.0,,,gform
